Exercise Type,Date (mm/dd/yyyy),Time (hh:mm),Exercise Duration (min),Social Interaction,Hydration (L),Sleep (min),Reaction Time 1,Reaction Time 2,Reaction Time 3,Reaction Time Avg (ms)
biking,04/24/2026,17:07,7,n,0,510,281,327,298,302
volleyball,04/24/2026,17:20,182,y,0.25,510,288,270,258,272
biking,04/24/2026,20:22,6.5,n,0,510,309,296,323,309
biking,04/25/2026,11:57,6,n,0,570,281,279,247,269
biking,04/27/2026,12:21,7.5,n,0.5,540,305,295,287,296
biking,04/30/2026,19:20,5,n,0,410,228,263,273,255
volleyball,04/30/2026,19:30,60,y,0,410,309,276,292,292
biking,05/04/2026,7:45,7,n,0.4,360,296,322,310,309
volleyball,05/04/2026,19:30,60,y,0.25,360,257,299,304,287
volleyball,05/04/2026,20:30,60,y,0.25,360,257,293,311,287
volleyball,05/05/2026,20:10,110,y,0,390,270,263,271,268
biking,05/05/2026,22:09,7,n,0,390,245,341,201,262
biking,05/06/2026,7:51,7,n,0.1,410,296,331,311,313
biking,05/08/2026,16:45,5,n,0,480,272,229,288,263
volleyball,05/08/2026,17:00,60,y,0.25,480,289,269,291,283
walking,05/11/2026,7:51,25,n,0,450,288,248,257,264
walking,05/11/2026,18:58,8,n,0,450,314,278,244,279
volleyball,05/12/2026,20:30,90,y,0.1,450,227,303,246,259
biking,05/18/2026,7:43,12,n,0,486,265,253,200,239
volleyball,05/18/2026,19:30,60,y,0.25,486,288,245,362,298
biking,05/19/2026,19:55,5,n,0,510,332,286,306,308
volleyball,05/19/2026,20:00,120,y,0.25,510,278,288,310,292
biking,5/20/2026,8:00,7,n,0.1,300,235,237,249,240
biking,05/22/2026,12:50,16,n,0,480,319,264,299,294
volleyball,05/22/2026,19:30,60,y,0,480,304,288,291,294
biking,05/26/2026,19:53,7,n,0,510,308,290,248,282
volleyball,05/26/2026,20:00,120,y,0.1,510,236,270,346,284
biking,05/27/2026,8:00,9,n,0,450,249,317,346,304
,,,,,,,,,,0
,,,,,,,,,,0
,,,,,,,,,,0
,,,,,,,,,,0
,,,,,,,,,,0
,,,,,,,,,,0
,,,,,,,,,,0
,,,,,,,,,,0
